identifier,identifier_type_genome1,identifier_type_genome2,record_id_genome1,record_id_genome2,supporting_types_genome1,supporting_types_genome2,start_genome1,start_genome2,end_genome1,end_genome2,strand_genome1,strand_genome2,start_difference_bp,position_match_within_threshold,status
alpha/beta fold hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,922517,922534,923417,923434,-1,-1,17,True,matched
alpha/beta fold hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,934956,934973,935853,935870,-1,-1,17,True,matched
alpha/beta fold hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2186111,2186110,2186966,2186965,1,1,1,True,matched
alpha/beta fold hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2541554,2541581,2542532,2542559,1,1,27,True,matched
alpha/beta fold hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2602891,2602924,2603806,2603839,1,1,33,True,matched
alpha/beta fold hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3063191,3063244,3064220,3064273,-1,-1,53,True,matched
alpha/beta fold hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3647993,3648058,3648938,3649003,1,1,65,True,matched
alpha/beta hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,504784,504780,505759,505755,-1,-1,4,True,matched
alpha/beta hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,740951,740962,741587,741598,1,1,11,True,matched
alpha/beta hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1308328,1308366,1310467,1310505,1,1,38,True,matched
alpha/beta hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3256343,3256394,3257006,3257057,1,1,51,True,matched
alpha/beta hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4269300,4269282,4270275,4270257,-1,-1,18,True,matched
alpha/beta hydrolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4411477,4411464,4412227,4412214,1,1,13,True,matched
alr2,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,437970,437967,439146,439143,-1,-1,3,True,matched
alternative oxidase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2149276,2149273,2150002,2149999,-1,-1,3,True,matched
aminopeptidase P family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1266012,1266045,1267398,1267431,1,1,33,True,matched
aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1828422,1828412,1829913,1829903,1,1,10,True,matched
aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1953089,1953088,1954337,1954336,1,1,1,True,matched
aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2846146,2846194,2847427,2847475,1,1,48,True,matched
aminotransferase class IV,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3695403,3695461,3696210,3696268,-1,-1,58,True,matched
ammonium transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2762468,2762516,2764013,2764061,-1,-1,48,True,matched
anhydro-N-acetylmuramic acid kinase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1334606,1334646,1335797,1335837,-1,-1,40,True,matched
ankyrin repeat domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2809413,2809458,2809938,2809983,1,1,45,True,matched
anthranilate synthase component I,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1768356,1768341,1769886,1769871,-1,-1,15,True,matched
anthranilate synthase component I family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,218723,218727,220250,220254,1,1,4,True,matched
anti-sigma factor,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1689767,1689749,1690415,1690397,1,1,18,True,matched
antibiotic biosynthesis monooxygenase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3654262,3654327,3654610,3654675,1,1,65,True,matched
apcA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1502143,1502124,1502629,1502610,-1,-1,19,True,matched
apcB,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3607068,3607134,3607578,3607644,-1,-1,66,True,matched
argB,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2970537,2970591,2971437,2971491,-1,-1,54,True,matched
argC,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2818441,2818486,2819500,2819545,1,1,45,True,matched
argH,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1296475,1296512,1297891,1297928,1,1,37,True,matched
argJ,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,528107,528104,529349,529346,1,1,3,True,matched
argininosuccinate synthase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1057455,1057472,1058661,1058678,-1,-1,17,True,matched
aroA1,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3787631,3787690,3788981,3789040,-1,-1,59,True,matched
aroB,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,190997,190998,192098,192099,-1,-1,1,True,matched
aroH,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4008032,4008089,4008443,4008500,-1,-1,57,True,matched
aroQ,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,275276,275278,275723,275725,1,1,2,True,matched
arsC,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,233178,233183,233595,233600,-1,-1,5,True,matched
arsM,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4461873,4461861,4462842,4462830,-1,-1,12,True,matched
arsS,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2123765,2123759,2124770,2124764,1,1,6,True,matched
arsenic resistance protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2889313,2889364,2890294,2890345,1,1,51,True,matched
aspS,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,988984,989009,990790,990815,1,1,25,True,matched
asparaginase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2661904,2661939,2662858,2662893,1,1,35,True,matched
aspartate 1-decarboxylase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1156428,1156456,1156824,1156852,1,1,28,True,matched
aspartate ammonia-lyase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4299426,4299409,4300839,4300822,1,1,17,True,matched
aspartate carbamoyltransferase catalytic subunit,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1019060,1019083,1020056,1020079,-1,-1,23,True,matched
aspartate kinase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,531474,531471,533358,533355,-1,-1,3,True,matched
aspartate-semialdehyde dehydrogenase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2788419,2788466,2789514,2789561,-1,-1,47,True,matched
atpA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1504473,1504454,1505991,1505972,-1,-1,19,True,matched
atpB,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1508151,1508132,1508925,1508906,-1,-1,19,True,matched
atpC,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3946680,3946735,3947082,3947137,-1,-1,55,True,matched
atpD,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3947189,3947244,3948641,3948696,-1,-1,55,True,matched
atpE,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1507794,1507775,1508043,1508024,-1,-1,19,True,matched
atpH,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1506079,1506060,1506634,1506615,-1,-1,19,True,matched
banIR,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2718348,2718397,2718927,2718976,1,1,49,True,matched
bchB,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3135904,3135957,3137431,3137484,1,1,53,True,matched
bchL,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1925646,1925640,1926507,1926501,1,1,6,True,matched
bchM,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2940975,2941022,2941680,2941727,-1,-1,47,True,matched
bcp 1,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,269164,269166,269644,269646,1,1,2,True,matched
beta-ketoacyl-ACP synthase III,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2305520,2305527,2306543,2306549,1,1,7,True,matched
"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,646261,646264,648442,648445,-1,-1,3,True,matched
bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,11402,11402,12152,12152,-1,-1,0,True,matched
bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,545963,545960,547079,547076,1,1,3,True,matched
bifunctional nuclease family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1842955,1842945,1843477,1843467,-1,-1,10,True,matched
bifunctional riboflavin kinase/FAD synthetase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,444257,444254,445223,445220,1,1,3,True,matched
bifunctional sterol desaturase/short chain dehydrogenase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4289533,4289517,4290712,4290696,1,1,16,True,matched
bioB,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2926594,2926641,2927749,2927796,1,1,47,True,matched
bioD1,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1459902,1459882,1460610,1460590,-1,-1,20,True,matched
biopolymer transporter Tol,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,692621,692630,693191,693200,-1,-1,9,True,matched
biotin transporter BioY,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2927855,2927902,2928413,2928460,1,1,47,True,matched
biotin/lipoate A/B protein ligase family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3617055,3617121,3617814,3617880,1,1,66,True,matched
birA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3191419,3191474,3192565,3192620,1,1,55,True,matched
bis(5'-nucleosyl)-tetraphosphatase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,934184,934201,934655,934672,-1,-1,17,True,matched
blaOXA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,400692,400692,401535,401535,1,1,0,True,matched
branched-chain amino acid ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1991800,1991802,1992949,1992951,-1,-1,2,True,matched
branched-chain amino acid ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3740022,3740079,3740889,3740946,1,1,57,True,matched
branched-chain amino acid transaminase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,759091,759104,760006,760019,-1,-1,13,True,matched
btpA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2368357,2368363,2369200,2369206,1,1,6,True,matched
c-type cytochrome,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,933003,933020,933297,933314,1,1,17,True,matched
cache domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2478558,2478575,2480622,2480639,1,1,17,True,matched
cadmium resistance transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1804968,1804955,1805685,1805672,1,1,13,True,matched
cadmium resistance transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1805750,1805737,1806479,1806466,1,1,13,True,matched
calcium-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,513018,513015,514782,514779,-1,-1,3,True,matched
calcium-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,879174,879190,879900,879916,-1,-1,16,True,matched
calcium-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1011719,1011743,1012763,1012787,-1,-1,24,True,matched
calcium-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1223606,1223635,1224299,1224329,1,1,29,True,matched
calcium-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1514288,1514269,1516370,1516351,1,1,19,True,matched
calcium-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2267785,2267789,2269981,2269985,1,1,4,True,matched
calcium-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3748787,3748844,3750035,3750092,1,1,57,True,matched
calcium-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3824512,3824567,3826111,3826166,1,1,55,True,matched
calcium-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4481337,4481327,4482255,4482245,1,1,10,True,matched
carbohydrate ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2442646,2442662,2443510,2443526,-1,-1,16,True,matched
carbohydrate ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4306793,4306776,4307702,4307685,-1,-1,17,True,matched
carbohydrate ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3851880,3851938,3853095,3853153,1,1,58,True,matched
carbon dioxide-concentrating mechanism protein CcmK,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1569754,1569740,1570063,1570049,-1,-1,14,True,matched
carbon dioxide-concentrating mechanism protein CcmK,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3529775,3529843,3530087,3530155,1,1,68,True,matched
carbon dioxide-concentrating mechanism protein CcmK,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3977796,3977853,3978138,3978195,-1,-1,57,True,matched
carbon-nitrogen hydrolase family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4535451,4535436,4536261,4536246,-1,-1,15,True,matched
carbonic anhydrase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2760193,2760240,2760919,2760966,-1,-1,47,True,matched
carbonic anhydrase family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2452555,2452572,2453350,2453367,1,1,17,True,matched
caspase family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3567868,3567936,3570082,3570150,-1,-1,68,True,matched
cation diffusion facilitator family transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3048522,3048579,3049464,3049521,1,1,57,True,matched
cation transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3739673,3739730,3739868,3739925,-1,-1,57,True,matched
cation:proton antiporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,185200,185200,186571,186572,-1,-1,0,True,matched
cation:proton antiporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2380168,2380174,2381797,2381803,1,1,6,True,matched
cation:proton antiporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4522695,4522680,4524348,4524333,1,1,15,True,matched
cbiB,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4353935,4353918,4354952,4354935,-1,-1,17,True,matched
cbiD,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3869143,3869200,3870235,3870292,1,1,57,True,matched
cbiE,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3866966,3867023,3868205,3868262,1,1,57,True,matched
ccmA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2443526,2443542,2444378,2444394,-1,-1,16,True,matched
ccsB,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4044359,4044416,4045370,4045427,1,1,57,True,matched
cdaA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2227924,2227925,2228761,2228762,1,1,1,True,matched
cell division protein FtsQ/DivIB,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1099075,1099099,1099933,1099957,-1,-1,24,True,matched
cell division protein FtsX,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2364348,2364354,2365284,2365290,-1,-1,6,True,matched
cell division protein SepF,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1142029,1142055,1142731,1142757,1,1,26,True,matched
chaperonin family protein RbcX,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1844113,1844103,1844521,1844511,-1,-1,10,True,matched
cheB2,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1016431,1016455,1017484,1017508,-1,-1,24,True,matched
chemotaxis protein CheW,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,893127,893144,894192,894209,-1,-1,17,True,matched
chemotaxis protein CheW,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1042809,1042828,1047396,1047415,-1,-1,19,True,matched
chemotaxis protein CheW,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3486265,3486326,3486808,3486869,-1,-1,61,True,matched
chlorophyll a/b-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1638839,1638823,1639010,1638994,-1,-1,16,True,matched
chlorophyll a/b-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2434873,2434888,2435017,2435032,1,1,15,True,matched
chlorophyll a/b-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3270100,3270149,3270253,3270302,1,1,49,True,matched
chlorophyll a/b-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3378700,3378752,3378913,3378965,1,1,52,True,matched
chlororespiratory reduction protein 7,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4188413,4188467,4188674,4188728,-1,-1,54,True,matched
choice-of-anchor E domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2635619,2635654,2636414,2636449,-1,-1,35,True,matched
chorismate lyase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3676272,3676334,3676860,3676922,1,1,62,True,matched
chromophore lyase CpcT/CpeT,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2579755,2579784,2580349,2580378,-1,-1,29,True,matched
cimA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3152279,3152333,3153956,3154010,1,1,54,True,matched
circadian clock protein KaiA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1432428,1432406,1433280,1433258,1,1,22,True,matched
circularly permuted type 2 ATP-grasp protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,619926,619927,621360,621361,1,1,1,True,matched
citrate synthase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4447582,4447571,4448815,4448804,1,1,11,True,matched
class I SAM-dependent methyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,28638,28637,29571,29570,1,1,1,True,matched
class I SAM-dependent methyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,170622,170618,171879,171876,-1,-1,4,True,matched
class I SAM-dependent methyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,448240,448237,448645,448642,-1,-1,3,True,matched
class I SAM-dependent methyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,634105,634107,634732,634734,1,1,2,True,matched
class I SAM-dependent methyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,725010,725021,726114,726125,1,1,11,True,matched
class I SAM-dependent methyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,805500,805514,806220,806234,1,1,14,True,matched
class I SAM-dependent methyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,923689,923705,924331,924347,-1,-1,16,True,matched
class I SAM-dependent methyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1428346,1428325,1429180,1429159,-1,-1,21,True,matched
class I SAM-dependent methyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1509552,1509533,1510797,1510778,-1,-1,19,True,matched
