/home/mi/work/genome1.fna /home/mi/work/genome2.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
714167	714302	3763690	3763821	136	132	87.50	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714167	714301	4309403	4309269	135	135	89.63	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714168	714308	48449	48309	141	141	90.78	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714200	714377	121193	121373	178	181	82.87	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714211	714433	1917515	1917732	223	218	89.33	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714222	714432	3848634	3848429	211	206	79.81	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714285	714434	4362004	4362154	150	151	92.05	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714289	714434	3104491	3104636	146	146	91.10	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714295	714435	1836245	1836386	141	142	91.55	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714296	714433	635414	635276	138	139	92.09	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714296	714431	1797339	1797203	136	137	93.48	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714296	714431	2230312	2230447	136	136	90.44	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714296	714431	3870251	3870387	136	137	91.24	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714297	714435	847813	847674	139	140	92.14	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714297	714377	3423587	3423667	81	81	96.30	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714297	714433	3423689	3423825	137	137	92.70	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714431	2242	2110	132	133	91.73	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714435	1246690	1246826	136	137	91.97	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714435	2899718	2899582	136	137	92.70	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714431	3140072	3139945	132	128	92.42	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714435	3233580	3233715	136	136	92.65	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714431	3379301	3379432	132	132	90.91	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714431	3573931	3574062	132	132	90.15	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714431	3763690	3763817	132	128	90.15	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714435	3959505	3959369	136	137	91.97	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714434	4309403	4309269	135	135	91.85	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714300	714431	4492725	4492856	132	132	88.06	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
714301	714436	48449	48314	136	136	94.12	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
721486	721620	3669309	3669447	135	139	91.37	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
721492	721620	2153414	2153546	129	133	92.48	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
721494	721583	121286	121193	90	94	93.62	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
721494	721616	1752391	1752530	123	140	86.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
722933	729347	592776	586365	6415	6412	97.26	4539749	4536413	0.14	0.14	CorrectedCP166615.1	FinalAssembly_Ba.1
730664	733633	585097	582128	2970	2970	96.57	4539749	4536413	0.07	0.07	CorrectedCP166615.1	FinalAssembly_Ba.1
734841	736045	581164	579960	1205	1205	98.42	4539749	4536413	0.03	0.03	CorrectedCP166615.1	FinalAssembly_Ba.1
736042	737077	1732516	1731480	1036	1037	98.46	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
736043	737075	3612749	3613782	1033	1034	98.45	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
736044	737075	2751940	2752972	1032	1033	98.74	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
737074	805175	724265	792353	68102	68089	98.98	4539749	4536413	1.50	1.50	CorrectedCP166615.1	FinalAssembly_Ba.1
768209	768384	1243834	1243658	176	177	89.27	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
768210	768388	3780980	3780800	179	181	88.95	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770364	770506	4309414	4309272	143	143	90.91	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770367	770506	3140080	3139945	140	136	92.14	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770370	770506	3573926	3574062	137	137	96.35	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770371	770510	3233576	3233715	140	140	94.29	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770372	770510	48453	48315	139	139	94.96	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770372	770508	2230313	2230449	137	137	97.10	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770375	770506	211155	211282	132	128	93.18	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770375	770506	1619545	1619414	132	132	96.21	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770375	770506	2474237	2474368	132	132	94.70	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770375	770500	3104502	3104627	126	126	93.65	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770375	770506	3379301	3379432	132	132	97.73	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770375	770506	3423692	3423823	132	132	93.18	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770375	770506	3507877	3508008	132	132	92.42	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
770375	770506	3763690	3763817	132	128	95.45	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
781129	781227	4175725	4175628	99	98	94.95	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805002	805175	792353	792526	174	174	97.71	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805163	805345	803539	803359	183	181	91.80	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805164	805346	1277837	1278017	183	181	96.72	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805164	805345	4035045	4034866	182	180	97.25	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805165	805345	4260785	4260606	181	180	98.90	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805166	805345	149734	149557	180	178	92.27	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805168	805344	1209993	1210167	177	175	91.53	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805168	805344	1594156	1593982	177	175	92.66	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805168	805344	2437719	2437893	177	175	93.22	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
805344	810733	792517	797906	5390	5390	97.64	4539749	4536413	0.12	0.12	CorrectedCP166615.1	FinalAssembly_Ba.1
812846	827032	801003	815188	14187	14186	98.94	4539749	4536413	0.31	0.31	CorrectedCP166615.1	FinalAssembly_Ba.1
815192	815381	1278026	1277837	190	190	91.05	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
815202	815376	149557	149731	175	175	90.86	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
815202	815381	4034866	4035045	180	180	90.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
815202	815380	4260606	4260785	179	180	89.44	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
815203	815376	1210167	1209994	174	174	94.83	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
815203	815362	1593982	1594141	160	160	90.62	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
815203	815376	2437893	2437720	174	174	91.95	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
827039	829796	817067	819818	2758	2752	92.80	4539749	4536413	0.06	0.06	CorrectedCP166615.1	FinalAssembly_Ba.1
829222	829900	819364	820042	679	679	93.23	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
829222	829567	819604	819949	346	346	93.35	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
830069	830199	2650669	2650541	131	129	84.73	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830092	830211	2710653	2710770	120	118	85.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830201	830429	820224	820451	229	228	97.38	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
830269	830381	3314320	3314436	113	117	86.32	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830279	830702	820106	820526	424	421	95.05	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
830698	830880	1210171	1209989	183	183	91.80	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830698	830877	1593978	1594157	180	180	91.11	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830698	830878	2437897	2437717	181	181	93.37	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830702	830876	149558	149732	175	175	92.05	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830702	830875	803360	803533	174	174	92.53	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830702	830875	1278015	1277842	174	174	95.98	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830702	830876	4034867	4035041	175	175	94.86	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830702	830876	4260607	4260782	175	176	95.45	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
830878	858041	820526	847679	27164	27154	98.75	4539749	4536413	0.60	0.60	CorrectedCP166615.1	FinalAssembly_Ba.1
839780	839886	173144	173038	107	107	93.46	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
839781	839886	894441	894546	106	106	93.40	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
839781	839885	2375638	2375742	105	105	94.29	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
839781	839886	2526246	2526141	106	106	95.28	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
839782	839878	1283049	1283144	97	96	95.88	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
839784	839886	4276220	4276119	103	102	91.26	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
839790	839886	1139779	1139683	97	97	97.94	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
839790	839886	2530782	2530878	97	97	91.75	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
839804	839886	930232	930150	83	83	95.18	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
858041	862159	847813	851916	4119	4104	98.64	4539749	4536413	0.09	0.09	CorrectedCP166615.1	FinalAssembly_Ba.1
864826	879414	854252	868833	14589	14582	99.09	4539749	4536413	0.32	0.32	CorrectedCP166615.1	FinalAssembly_Ba.1
879412	896581	869124	886317	17170	17194	98.81	4539749	4536413	0.38	0.38	CorrectedCP166615.1	FinalAssembly_Ba.1
896458	911176	886318	900994	14719	14677	98.80	4539749	4536413	0.32	0.32	CorrectedCP166615.1	FinalAssembly_Ba.1
904566	904837	2233746	2234013	272	268	81.09	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
904568	904847	1017836	1017561	280	276	82.33	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
904620	904790	2375635	2375805	171	171	91.23	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
904621	904789	3096003	3095831	169	173	87.28	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
904623	904786	173143	172980	164	164	90.85	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
904623	904728	829404	829509	106	106	93.40	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
904623	904848	869053	868827	226	227	89.43	4539749	4536413	0.00	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
904623	904786	2423431	2423593	164	163	86.59	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
904633	904788	1139778	1139623	156	156	89.10	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910068	910195	659817	659942	128	126	95.31	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910069	910195	2319601	2319727	127	127	93.70	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910072	910195	3530150	3530273	124	124	86.40	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	298578	298697	120	120	95.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	341947	341827	120	121	90.91	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	1594289	1594170	120	120	95.83	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	2388968	2388853	120	116	83.47	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	2561972	2562091	120	120	94.17	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	2699039	2698920	120	120	84.30	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	2739463	2739348	120	116	94.17	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	2742170	2742289	120	120	95.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	2859548	2859667	120	120	94.17	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	3126665	3126784	120	120	94.17	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	3786409	3786290	120	120	96.67	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	3848559	3848678	120	120	97.50	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	4094924	4095039	120	116	92.50	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	4306662	4306781	120	120	97.50	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
910076	910195	4503911	4503796	120	116	94.17	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
911170	940211	901027	930108	29042	29082	98.22	4539749	4536413	0.64	0.64	CorrectedCP166615.1	FinalAssembly_Ba.1
940283	941577	2521020	2519725	1295	1296	95.45	4539749	4536413	0.03	0.03	CorrectedCP166615.1	FinalAssembly_Ba.1
940283	941577	3008154	3006859	1295	1296	93.67	4539749	4536413	0.03	0.03	CorrectedCP166615.1	FinalAssembly_Ba.1
940283	941577	3965018	3966313	1295	1296	93.98	4539749	4536413	0.03	0.03	CorrectedCP166615.1	FinalAssembly_Ba.1
941575	947147	930400	935940	5573	5541	95.38	4539749	4536413	0.12	0.12	CorrectedCP166615.1	FinalAssembly_Ba.1
947307	947451	224332	224475	145	144	97.24	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947314	947451	2246	2110	138	137	96.38	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947317	947454	601530	601394	138	137	91.30	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947317	947453	635412	635276	137	137	95.62	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947317	947454	847812	847675	138	138	97.10	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947317	947453	1917596	1917732	137	137	94.16	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947317	947455	2474235	2474372	139	138	88.49	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947317	947454	3073213	3073350	138	138	92.03	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947317	947455	4362017	4362155	139	139	97.12	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947455	718330	718466	137	137	95.62	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947451	1246690	1246822	133	133	96.99	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947451	1397621	1397489	133	133	99.25	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947451	1797335	1797203	133	133	94.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947451	1836250	1836382	133	133	97.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947384	2432426	2432491	66	66	100.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947451	2899718	2899586	133	133	96.99	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947455	2960772	2960636	137	137	99.27	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947455	3870255	3870391	137	137	97.81	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947451	3959505	3959373	133	133	96.24	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947319	947458	4303328	4303188	140	141	97.87	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947322	947451	326188	326317	130	130	97.69	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
947451	986355	936093	975030	38905	38938	98.22	4539749	4536413	0.86	0.86	CorrectedCP166615.1	FinalAssembly_Ba.1
971853	972002	2239334	2239483	150	150	88.67	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
971854	972003	45848	45699	150	150	92.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
971854	972003	319289	319438	150	150	90.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
971855	972000	1836387	1836532	146	146	91.78	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
971855	972003	3753073	3753221	149	149	91.95	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
971855	972001	3957307	3957453	147	147	93.20	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
971856	972002	1946509	1946655	147	147	90.48	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986349	986486	601534	601397	138	138	91.30	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986350	986486	757535	757671	137	137	91.97	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986350	986486	3573926	3574062	137	137	92.70	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986351	986486	3233576	3233711	136	136	95.59	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986352	986488	3379298	3379434	137	137	94.16	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986352	986486	4309406	4309272	135	135	94.81	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986486	470709	470577	132	133	88.06	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986486	1619545	1619414	132	132	93.94	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986486	2230316	2230447	132	132	93.94	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986486	2561972	2562104	132	133	88.06	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986480	3104502	3104627	126	126	96.03	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986486	3126665	3126797	132	133	88.06	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986488	3140072	3139943	134	130	94.78	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986432	3423590	3423667	78	78	96.15	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986486	3423692	3423823	132	132	95.45	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986486	3507877	3508008	132	132	94.70	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986486	3763690	3763817	132	128	92.42	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986355	986486	3848557	3848430	132	128	84.09	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986356	986486	48449	48319	131	131	96.95	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986396	986486	3786367	3786277	91	91	92.31	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986400	986486	659869	659955	87	87	93.10	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986400	986486	4306708	4306794	87	87	93.10	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986411	986488	2739410	2739333	78	78	94.87	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986419	986486	1017632	1017565	68	68	98.53	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
986488	1029034	975030	1017563	42547	42534	98.28	4539749	4536413	0.94	0.94	CorrectedCP166615.1	FinalAssembly_Ba.1
1002407	1002550	3490857	3490715	144	143	93.75	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002413	1002550	1690659	1690522	138	138	95.65	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002413	1002549	3737481	3737346	137	136	97.08	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002414	1002550	4338319	4338455	137	137	93.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002415	1002516	121294	121193	102	102	93.14	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002415	1002584	3108869	3108700	170	170	92.40	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002418	1002550	470577	470709	133	133	92.48	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002418	1002524	2610916	2611023	107	108	93.52	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002418	1002554	3431786	3431650	137	137	96.35	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002418	1002550	3669312	3669444	133	133	94.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002418	1002550	4313237	4313369	133	133	92.48	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002420	1002550	2543772	2543902	131	131	91.60	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1002423	1002550	2153416	2153543	128	128	92.97	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1029032	1039394	1017834	1028226	10363	10393	98.82	4539749	4536413	0.23	0.23	CorrectedCP166615.1	FinalAssembly_Ba.1
1042754	1042876	1030490	1030612	123	123	93.50	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1042893	1057070	1031189	1045338	14178	14150	97.70	4539749	4536413	0.31	0.31	CorrectedCP166615.1	FinalAssembly_Ba.1
1057022	1061350	1045350	1049684	4329	4335	99.10	4539749	4536413	0.10	0.10	CorrectedCP166615.1	FinalAssembly_Ba.1
1061489	1128172	1049787	1116479	66684	66693	98.01	4539749	4536413	1.47	1.47	CorrectedCP166615.1	FinalAssembly_Ba.1
1068949	1069091	1968780	1968634	143	147	85.81	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1081046	1081194	1301278	1301426	149	149	88.59	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
1088068	1088444	389164	389540	377	377	85.19	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
1088068	1088533	1349428	1348963	466	466	84.71	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
1088141	1088790	1349607	1348957	650	651	84.43	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
1114353	1115232	1115405	1116284	880	880	88.21	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
1119598	1120510	1120221	1121133	913	913	95.40	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
1119722	1120533	1178157	1178970	812	814	85.05	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
1120623	1122661	1115308	1117340	2039	2033	93.08	4539749	4536413	0.04	0.04	CorrectedCP166615.1	FinalAssembly_Ba.1
