[START] Reading GenBank input...
[START] Loaded 1 record(s).
[RECORD] Processing record 1/1: 1
[CHANGED] standard_name=dnaA CDS | location=635-2054(+) | final_gene=dnaA | final_product=chromosomal replication initiator protein DnaA | resolution=no_change
[CHANGED] standard_name=glucose-1-phosphate adenylyltransferase CDS | location=1003267-1004557(+) | final_gene=glgC | final_product=glucose-1-phosphate adenylyltransferase | resolution=uniprot_product_to_gene:glgC:995
[CHANGED] standard_name=nadA CDS | location=1004914-1005871(+) | final_gene=nadA | final_product=quinolinate synthase NadA | resolution=no_change
[UNRESOLVED] standard_name=septal ring lytic transglycosylase RlpA family protein CDS | location=1006015-1007071(-) | final_gene=unknown_gene | final_product=septal ring lytic transglycosylase RlpA family protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=purM CDS | location=1008105-1009134(+) | final_gene=purM | final_product=Phosphoribosylformylglycinamidine cyclo-ligase | resolution=no_change
[CHANGED] standard_name=purM gene | location=1008105-1009134(+) | final_gene=purM | final_product=purM gene | resolution=no_change
[CHANGED] standard_name=lgt CDS | location=1009271-1010108(+) | final_gene=lgt | final_product=prolipoprotein diacylglyceryl transferase | resolution=no_change
[UNRESOLVED] standard_name=esterase-like activity of phytase family protein CDS | location=1010313-1011678(+) | final_gene=unknown_gene | final_product=esterase-like activity of phytase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=calcium-binding protein CDS | location=1011719-1012763(-) | final_gene=unknown_gene | final_product=calcium-binding protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=DNA polymerase III subunit alpha CDS | location=1012778-1016345(-) | final_gene=dnaE | final_product=DNA polymerase III subunit alpha | resolution=uniprot_product_to_gene:dnaE:175
[CHANGED] standard_name=cheB CDS | location=1016431-1017505(-) | final_gene=cheB | final_product=chemotaxis-specific protein-glutamate methyltransferase CheB | resolution=no_change
[CHANGED] standard_name=holA CDS | location=1018002-1018986(-) | final_gene=holA | final_product=DNA polymerase III subunit delta | resolution=no_change
[CHANGED] standard_name=aspartate carbamoyltransferase catalytic subunit CDS | location=1019060-1020056(-) | final_gene=pyrB | final_product=aspartate carbamoyltransferase catalytic subunit | resolution=uniprot_product_to_gene:pyrB:150
[CHANGED] standard_name=lipA CDS | location=1021076-1021988(-) | final_gene=lipA | final_product=lipoyl synthase | resolution=no_change
[CHANGED] standard_name=response regulator CDS | location=1022552-1023113(+) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[UNRESOLVED] standard_name=DUF177 domain-containing protein CDS | location=1023894-1024401(-) | final_gene=unknown_gene | final_product=DUF177 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=protein jag CDS | location=1024530-1025025(-) | final_gene=jag | final_product=protein jag | resolution=uniprot_product_to_gene:jag:10
[UNCHANGED] standard_name=yidC CDS | location=1025024-1026251(-) | final_gene=yidC | final_product=Membrane protein insertase YidC | resolution=no_change
[CHANGED] standard_name=yidC gene | location=1025024-1026251(-) | final_gene=yidC | final_product=yidC gene | resolution=no_change
[UNRESOLVED] standard_name=PH domain-containing protein CDS | location=1026620-1027007(-) | final_gene=unknown_gene | final_product=PH domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=rnpA CDS | location=1027107-1027530(-) | final_gene=rnpA | final_product=Ribonuclease P protein component | resolution=no_change
[CHANGED] standard_name=rnpA gene | location=1027107-1027530(-) | final_gene=rnpA | final_product=rnpA gene | resolution=no_change
[UNCHANGED] standard_name=rpmH CDS | location=1027592-1027730(-) | final_gene=rpmH | final_product=50S ribosomal protein L34 | resolution=no_change
[CHANGED] standard_name=rpmH gene | location=1027592-1027730(-) | final_gene=rpmH | final_product=rpmH gene | resolution=no_change
[UNRESOLVED] standard_name=AAA family ATPase CDS | location=1031756-1033178(-) | final_gene=unknown_gene | final_product=AAA family ATPase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=NAD(P)-dependent oxidoreductase CDS | location=1033391-1034276(+) | final_gene=unknown_gene | final_product=NAD(P)-dependent oxidoreductase | resolution=fallback_unknown_gene
[CHANGED] standard_name=response regulator CDS | location=1035673-1037569(-) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[UNRESOLVED] standard_name=Hpt domain-containing protein CDS | location=1037549-1038736(-) | final_gene=unknown_gene | final_product=Hpt domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GAF domain-containing protein CDS | location=1038924-1042455(-) | final_gene=unknown_gene | final_product=GAF domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=chemotaxis protein CheW CDS | location=1042809-1047396(-) | final_gene=cheW | final_product=chemotaxis protein CheW | resolution=uniprot_product_to_gene:cheW:15
[CHANGED] standard_name=response regulator CDS | location=1048001-1049492(-) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[CHANGED] standard_name=cobJ cysG 2 CDS | location=1050867-1052769(-) | final_gene=cobJ | final_product=precorrin-3B C(17)-methyltransferase | resolution=no_change
[UNRESOLVED] standard_name=response regulator transcription factor CDS | location=1054831-1055530(-) | final_gene=unknown_gene | final_product=response regulator transcription factor | resolution=fallback_unknown_gene
[CHANGED] standard_name=ATP-binding protein CDS | location=1055483-1057148(-) | final_gene=chlL | final_product=ATP-binding protein | resolution=uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
[CHANGED] standard_name=argininosuccinate synthase CDS | location=1057455-1058661(-) | final_gene=argG | final_product=argininosuccinate synthase | resolution=uniprot_product_to_gene:argG:990
[UNRESOLVED] standard_name=DUF3181 family protein CDS | location=1058884-1059193(-) | final_gene=unknown_gene | final_product=DUF3181 family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=molybdopterin oxidoreductase family protein CDS | location=1059263-1061402(-) | final_gene=fdhF | final_product=molybdopterin oxidoreductase family protein | resolution=uniprot_product_to_gene:fdhF:5
[CHANGED] standard_name=ABC transporter ATP-binding protein CDS | location=1061585-1062428(-) | final_gene=cbiO | final_product=ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
[CHANGED] standard_name=nitrate ABC transporter ATP-binding protein CDS | location=1062512-1064528(-) | final_gene=nrtC | final_product=nitrate ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:nrtC:5
[CHANGED] standard_name=ntrB CDS | location=1064580-1065420(-) | final_gene=ntrB | final_product=nitrate ABC transporter permease | resolution=no_change
[UNRESOLVED] standard_name=CmpA/NrtA family ABC transporter substrate-binding protein CDS | location=1066014-1067355(-) | final_gene=unknown_gene | final_product=CmpA/NrtA family ABC transporter substrate-binding protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ferredoxin--nitrite reductase CDS | location=1067445-1069002(-) | final_gene=nirA | final_product=ferredoxin--nitrite reductase | resolution=uniprot_product_to_gene:nirA:210,ftrV:5
[UNRESOLVED] standard_name=iron uptake porin CDS | location=1069494-1071123(-) | final_gene=unknown_gene | final_product=iron uptake porin | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=iron uptake porin CDS | location=1071286-1072915(-) | final_gene=unknown_gene | final_product=iron uptake porin | resolution=fallback_unknown_gene
[CHANGED] standard_name=ABC transporter ATP-binding protein CDS | location=1073467-1075294(+) | final_gene=cbiO | final_product=ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
[CHANGED] standard_name=ycf3 9 CDS | location=1075451-1077389(+) | final_gene=ycf3 | final_product=Photosystem I assembly protein Ycf3 | resolution=uniprot_product_to_gene:ycf3:895,ycf:55
[UNRESOLVED] standard_name=ycf3 9 gene | location=1075451-1077389(+) | final_gene=unknown_gene | final_product=ycf3 9 gene | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF3084 domain-containing protein CDS | location=1077526-1078984(-) | final_gene=unknown_gene | final_product=DUF3084 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ntcA 2 CDS | location=1079070-1079805(-) | final_gene=ntcA | final_product=Global nitrogen regulator | resolution=uniprot_product_to_gene:ntcA:580
[CHANGED] standard_name=ntcA gene | location=1079070-1079805(-) | final_gene=ntcA | final_product=ntcA gene | resolution=no_change
[UNCHANGED] standard_name=fabI CDS | location=1080226-1081006(+) | final_gene=fabI | final_product=Enoyl-[acyl-carrier-protein] reductase [NADH] FabI | resolution=no_change
[CHANGED] standard_name=fabI gene | location=1080229-1081006(+) | final_gene=fabI | final_product=fabI gene | resolution=no_change
[CHANGED] standard_name=hisB CDS | location=1081205-1081823(+) | final_gene=hisB | final_product=imidazoleglycerol-phosphate dehydratase HisB | resolution=no_change
[UNRESOLVED] standard_name=PHP domain-containing protein CDS | location=1082631-1083351(+) | final_gene=unknown_gene | final_product=PHP domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=N-acetylmuramoyl-L-alanine amidase CDS | location=1083680-1085288(+) | final_gene=amiA | final_product=N-acetylmuramoyl-L-alanine amidase | resolution=uniprot_product_to_gene:amiA:10
[UNRESOLVED] standard_name=WecB/TagA/CpsF family glycosyltransferase CDS | location=1085284-1086679(-) | final_gene=unknown_gene | final_product=WecB/TagA/CpsF family glycosyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glycosyltransferase family 2 protein CDS | location=1087414-1088671(+) | final_gene=unknown_gene | final_product=glycosyltransferase family 2 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=NAD-dependent epimerase/dehydratase family protein CDS | location=1088853-1089900(+) | final_gene=unknown_gene | final_product=NAD-dependent epimerase/dehydratase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=segregation/condensation protein A CDS | location=1090146-1090998(+) | final_gene=unknown_gene | final_product=segregation/condensation protein A | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=tol-pal system YbgF family protein CDS | location=1091531-1092899(-) | final_gene=unknown_gene | final_product=tol-pal system YbgF family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=gatB CDS | location=1093287-1094772(+) | final_gene=gatB | final_product=Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB | resolution=no_change
[CHANGED] standard_name=thiD CDS | location=1096702-1097515(-) | final_gene=thiD | final_product=bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase | resolution=no_change
[CHANGED] standard_name=ftsZ CDS | location=1097561-1098839(-) | final_gene=ftsZ | final_product=cell division protein FtsZ | resolution=no_change
[UNRESOLVED] standard_name=cell division protein FtsQ/DivIB CDS | location=1099075-1099933(-) | final_gene=unknown_gene | final_product=cell division protein FtsQ/DivIB | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=P-loop NTPase fold protein CDS | location=1100306-1101641(+) | final_gene=unknown_gene | final_product=P-loop NTPase fold protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=AAA family ATPase CDS | location=1102591-1108807(+) | final_gene=unknown_gene | final_product=AAA family ATPase | resolution=fallback_unknown_gene
[CHANGED] standard_name=pknD 6 CDS | location=1108958-1115216(+) | final_gene=pknD | final_product=Serine/threonine-protein kinase PknD | resolution=uniprot_product_to_gene:pknD:5
[UNRESOLVED] standard_name=pknD 6 gene | location=1108958-1115216(+) | final_gene=unknown_gene | final_product=pknD 6 gene | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=AAA family ATPase CDS | location=1115352-1121139(+) | final_gene=unknown_gene | final_product=AAA family ATPase | resolution=fallback_unknown_gene
[CHANGED] standard_name=phytoene synthase CDS | location=1121219-1122173(-) | final_gene=crtB | final_product=phytoene synthase | resolution=uniprot_product_to_gene:crtB:101,pys:33,psy:3
[CHANGED] standard_name=pds CDS | location=1122222-1123635(-) | final_gene=pds | final_product=15-cis-phytoene desaturase | resolution=no_change
[CHANGED] standard_name=plsY CDS | location=1123991-1124666(-) | final_gene=plsY | final_product=glycerol-3-phosphate 1-O-acyltransferase PlsY | resolution=no_change
[UNRESOLVED] standard_name=glutathione S-transferase family protein CDS | location=1128914-1129472(-) | final_gene=unknown_gene | final_product=glutathione S-transferase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=thioredoxin domain-containing protein CDS | location=1130106-1131123(-) | final_gene=unknown_gene | final_product=thioredoxin domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=leuB CDS | location=1131267-1132359(+) | final_gene=leuB | final_product=3-isopropylmalate dehydrogenase | resolution=no_change
[UNRESOLVED] standard_name=TlyA family RNA methyltransferase CDS | location=1132521-1133340(+) | final_gene=unknown_gene | final_product=TlyA family RNA methyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=extracellular solute-binding protein CDS | location=1135990-1137250(+) | final_gene=unknown_gene | final_product=extracellular solute-binding protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=holo-ACP synthase CDS | location=1138900-1139422(+) | final_gene=acpS | final_product=holo-ACP synthase | resolution=uniprot_product_to_gene:acpS:43
[UNRESOLVED] standard_name=PipX family protein CDS | location=1140361-1140631(+) | final_gene=unknown_gene | final_product=PipX family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=YggS family pyridoxal phosphate-dependent enzyme CDS | location=1140703-1141372(+) | final_gene=unknown_gene | final_product=YggS family pyridoxal phosphate-dependent enzyme | resolution=fallback_unknown_gene
[CHANGED] standard_name=cell division protein SepF CDS | location=1142029-1142731(+) | final_gene=sepF | final_product=cell division protein SepF | resolution=uniprot_product_to_gene:sepF:990
[CHANGED] standard_name=proC CDS | location=1142893-1143727(+) | final_gene=proC | final_product=pyrroline-5-carboxylate reductase | resolution=no_change
[UNRESOLVED] standard_name=M15 family metallopeptidase CDS | location=1143806-1144511(+) | final_gene=unknown_gene | final_product=M15 family metallopeptidase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=leucine-rich repeat domain-containing protein CDS | location=1146081-1147413(+) | final_gene=unknown_gene | final_product=leucine-rich repeat domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=leucine-rich repeat domain-containing protein CDS | location=1147558-1149037(+) | final_gene=unknown_gene | final_product=leucine-rich repeat domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=thiC CDS | location=1150912-1152301(-) | final_gene=thiC | final_product=phosphomethylpyrimidine synthase | resolution=no_change
[UNRESOLVED] standard_name=tRNA-Glu gene | location=1153507-1153580(-) | final_gene=unknown_gene | final_product=tRNA-Glu gene | resolution=fallback_unknown_gene
[CHANGED] standard_name=dusB CDS | location=1155246-1156332(+) | final_gene=dusB | final_product=tRNA dihydrouridine synthase DusB | resolution=no_change
[CHANGED] standard_name=aspartate 1-decarboxylase CDS | location=1156428-1156824(+) | final_gene=panD | final_product=aspartate 1-decarboxylase | resolution=uniprot_product_to_gene:panD:945,panD2:28,panD1:3
[UNCHANGED] standard_name=fda CDS | location=1157085-1158159(-) | final_gene=fda | final_product=Fructose-bisphosphate aldolase | resolution=no_change
[CHANGED] standard_name=fba gene | location=1157085-1158159(-) | final_gene=fba | final_product=fba gene | resolution=no_change
[UNRESOLVED] standard_name=tRNA-Lys gene | location=1158587-1158659(-) | final_gene=unknown_gene | final_product=tRNA-Lys gene | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glycosyltransferase family 2 protein CDS | location=1158864-1159887(-) | final_gene=unknown_gene | final_product=glycosyltransferase family 2 protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=1160751-1161495(+) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[UNCHANGED] standard_name=petM CDS | location=1161665-1161770(+) | final_gene=petM | final_product=Cytochrome b6-f complex subunit 7 | resolution=no_change
[CHANGED] standard_name=petM gene | location=1161665-1161770(+) | final_gene=petM | final_product=petM gene | resolution=no_change
[CHANGED] standard_name=cyanophycinase CDS | location=1162028-1162886(-) | final_gene=cphB | final_product=cyanophycinase | resolution=uniprot_product_to_gene:cphB:90
[UNCHANGED] standard_name=rpiA CDS | location=1163334-1164045(-) | final_gene=rpiA | final_product=Ribose-5-phosphate isomerase A | resolution=no_change
[CHANGED] standard_name=rpiA gene | location=1163334-1164045(-) | final_gene=rpiA | final_product=rpiA gene | resolution=no_change
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=1164345-1166154(+) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[UNRESOLVED] standard_name=trypsin-like peptidase domain-containing protein CDS | location=1166403-1167948(+) | final_gene=unknown_gene | final_product=trypsin-like peptidase domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=CPP1-like family protein CDS | location=1168137-1168758(-) | final_gene=unknown_gene | final_product=CPP1-like family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=response regulator transcription factor CDS | location=1169570-1170293(+) | final_gene=unknown_gene | final_product=response regulator transcription factor | resolution=fallback_unknown_gene
[CHANGED] standard_name=ATP-binding protein CDS | location=1171369-1173856(+) | final_gene=chlL | final_product=ATP-binding protein | resolution=uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
[CHANGED] standard_name=ATP-binding protein CDS | location=1174789-1177603(+) | final_gene=chlL | final_product=ATP-binding protein | resolution=uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
[CHANGED] standard_name=sensor histidine kinase CDS | location=1177676-1178951(+) | final_gene=sasA | final_product=sensor histidine kinase | resolution=uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
[CHANGED] standard_name=alpha-amylase CDS | location=1179443-1180922(+) | final_gene=amyS | final_product=alpha-amylase | resolution=uniprot_product_to_gene:amyS:45,amy:20,amyA:15,amyM:10,amy1:5
[CHANGED] standard_name=NAD(+) kinase CDS | location=1181203-1182151(+) | final_gene=ppnK | final_product=NAD(+) kinase | resolution=uniprot_product_to_gene:ppnK:10
[CHANGED] standard_name=phosphatidate cytidylyltransferase CDS | location=1182349-1183336(+) | final_gene=cdsA | final_product=phosphatidate cytidylyltransferase | resolution=uniprot_product_to_gene:cdsA:140
[UNRESOLVED] standard_name=DUF697 domain-containing protein CDS | location=1183569-1185039(+) | final_gene=unknown_gene | final_product=DUF697 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=heavy metal-responsive transcriptional regulator CDS | location=1185734-1186319(-) | final_gene=zntR | final_product=heavy metal-responsive transcriptional regulator | resolution=uniprot_product_to_gene:zntR:5
[UNRESOLVED] standard_name=glycosyltransferase family 2 protein CDS | location=1186507-1187419(-) | final_gene=unknown_gene | final_product=glycosyltransferase family 2 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Gfo/Idh/MocA family protein CDS | location=1187539-1188667(-) | final_gene=unknown_gene | final_product=Gfo/Idh/MocA family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF6492 family protein CDS | location=1188960-1189842(-) | final_gene=unknown_gene | final_product=DUF6492 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=O-antigen ligase family protein CDS | location=1190302-1191715(-) | final_gene=unknown_gene | final_product=O-antigen ligase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=smc 3 CDS | location=1191962-1193150(-) | final_gene=smc | final_product=Chromosome partition protein Smc | resolution=uniprot_product_to_gene:smc:960
[UNRESOLVED] standard_name=smc 3 gene | location=1191962-1193150(-) | final_gene=unknown_gene | final_product=smc 3 gene | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GGDEF domain-containing protein CDS | location=1193351-1194692(-) | final_gene=unknown_gene | final_product=GGDEF domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=tsaE CDS | location=1194814-1195318(-) | final_gene=tsaE | final_product=tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE | resolution=no_change
[CHANGED] standard_name=NAD(P)H-quinone oxidoreductase subunit 4 CDS | location=1195618-1197223(-) | final_gene=ndhD | final_product=NAD(P)H-quinone oxidoreductase subunit 4 | resolution=uniprot_product_to_gene:ndhD:10,nuoM:5
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=1197618-1198362(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=xseB CDS | location=1198464-1198710(-) | final_gene=xseB | final_product=Exodeoxyribonuclease 7 small subunit | resolution=no_change
[CHANGED] standard_name=xseB gene | location=1198464-1198710(-) | final_gene=xseB | final_product=xseB gene | resolution=no_change
[CHANGED] standard_name=glp CDS | location=1198904-1200125(+) | final_gene=glp | final_product=gephyrin-like molybdotransferase Glp | resolution=no_change
[UNRESOLVED] standard_name=D-Ala-D-Ala carboxypeptidase family metallohydrolase CDS | location=1200180-1202325(-) | final_gene=unknown_gene | final_product=D-Ala-D-Ala carboxypeptidase family metallohydrolase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=HAD family hydrolase CDS | location=1202487-1203297(+) | final_gene=unknown_gene | final_product=HAD family hydrolase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF5615 family PIN-like protein CDS | location=1203320-1203764(-) | final_gene=unknown_gene | final_product=DUF5615 family PIN-like protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF433 domain-containing protein Putative antitoxin VapB45 CDS | location=1203760-1204462(-) | final_gene=unknown_gene | final_product=DUF433 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=tRNA-Gly gene | location=1204636-1204708(-) | final_gene=unknown_gene | final_product=tRNA-Gly gene | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=trpD2 CDS | location=1204884-1205949(+) | final_gene=trpD2 | final_product=Anthranilate phosphoribosyltransferase 2 | resolution=no_change
[CHANGED] standard_name=trpD gene | location=1204884-1205949(+) | final_gene=trpD | final_product=trpD gene | resolution=no_change
[UNRESOLVED] standard_name=glycoside hydrolase family 9 protein CDS | location=1206600-1208523(+) | final_gene=unknown_gene | final_product=glycoside hydrolase family 9 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=polysaccharide biosynthesis C-terminal domain-containing protein CDS | location=1208606-1209899(+) | final_gene=unknown_gene | final_product=polysaccharide biosynthesis C-terminal domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=M16 family metallopeptidase CDS | location=1210201-1211488(-) | final_gene=unknown_gene | final_product=M16 family metallopeptidase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GTPase family protein CDS | location=1211902-1213543(+) | final_gene=unknown_gene | final_product=GTPase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF362 domain-containing protein CDS | location=1213703-1214513(+) | final_gene=unknown_gene | final_product=DUF362 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF6636 domain-containing protein CDS | location=1214509-1214956(-) | final_gene=unknown_gene | final_product=DUF6636 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF3288 family protein CDS | location=1215573-1215861(+) | final_gene=unknown_gene | final_product=DUF3288 family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=phycobilisome rod-core linker polypeptide CDS | location=1216233-1216938(-) | final_gene=cpcG | final_product=phycobilisome rod-core linker polypeptide | resolution=uniprot_product_to_gene:cpcG:34,cpcG2:14,cpcG1:9,cpcG3:6,cpcG4:6
[UNRESOLVED] standard_name=DUF6671 family protein CDS | location=1217583-1218444(-) | final_gene=unknown_gene | final_product=DUF6671 family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=Ca(2+)/H(+) antiporter CDS | location=1218474-1219590(-) | final_gene=cax | final_product=Ca(2+)/H(+) antiporter | resolution=uniprot_product_to_gene:cax:495,yfkE:15,VCX:5,cax1:5
[CHANGED] standard_name=Ca(2+)/H(+) antiporter gene | location=1218474-1219590(-) | final_gene=cax | final_product=Ca(2+)/H(+) antiporter gene | resolution=no_change
[UNRESOLVED] standard_name=Ig-like domain-containing protein CDS | location=1219649-1221287(-) | final_gene=unknown_gene | final_product=Ig-like domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=TIGR03943 family protein CDS | location=1221400-1222183(-) | final_gene=unknown_gene | final_product=TIGR03943 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=calcium-binding protein CDS | location=1223606-1224299(+) | final_gene=unknown_gene | final_product=calcium-binding protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=tRNA-Met gene | location=1224498-1224575(-) | final_gene=unknown_gene | final_product=tRNA-Met gene | resolution=fallback_unknown_gene
[CHANGED] standard_name=DNA polymerase III subunit gamma/tau CDS | location=1224861-1226987(-) | final_gene=dnaX | final_product=DNA polymerase III subunit gamma/tau | resolution=uniprot_product_to_gene:dnaX:980
[UNRESOLVED] standard_name=DUF3536 domain-containing protein CDS | location=1227186-1229823(+) | final_gene=unknown_gene | final_product=DUF3536 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=radC CDS | location=1230013-1230745(+) | final_gene=radC | final_product=DNA repair protein RadC | resolution=no_change
[UNRESOLVED] standard_name=GNAT family N-acetyltransferase CDS | location=1230887-1232075(-) | final_gene=unknown_gene | final_product=GNAT family N-acetyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=S-layer homology domain-containing protein CDS | location=1232910-1234170(+) | final_gene=unknown_gene | final_product=S-layer homology domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=M1 family aminopeptidase CDS | location=1234521-1237182(-) | final_gene=unknown_gene | final_product=M1 family aminopeptidase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=histone deacetylase family protein CDS | location=1237646-1238666(+) | final_gene=unknown_gene | final_product=histone deacetylase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=cupin domain-containing protein CDS | location=1238801-1239122(+) | final_gene=unknown_gene | final_product=cupin domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=diguanylate cyclase CDS | location=1239203-1241534(-) | final_gene=dosC | final_product=diguanylate cyclase | resolution=uniprot_product_to_gene:dosC:3
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=1242253-1243642(+) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[CHANGED] standard_name=gmk CDS | location=1243930-1244512(-) | final_gene=gmk | final_product=guanylate kinase | resolution=no_change
[UNRESOLVED] standard_name=plastocyanin/azurin family copper-binding protein CDS | location=1244893-1245286(-) | final_gene=unknown_gene | final_product=plastocyanin/azurin family copper-binding protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=quinone-dependent dihydroorotate dehydrogenase CDS | location=1245433-1246579(-) | final_gene=unknown_gene | final_product=quinone-dependent dihydroorotate dehydrogenase | resolution=fallback_unknown_gene
[CHANGED] standard_name=thioredoxin family protein CDS | location=1246858-1247197(-) | final_gene=trxA | final_product=thioredoxin family protein | resolution=uniprot_product_to_gene:trxA:5,txlA:5
[UNRESOLVED] standard_name=NnrU family protein CDS | location=1247352-1248096(-) | final_gene=unknown_gene | final_product=NnrU family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=LysR family transcriptional regulator CDS | location=1248843-1249833(+) | final_gene=unknown_gene | final_product=LysR family transcriptional regulator | resolution=fallback_unknown_gene
