standard_name	issue	gene_feature_gene	gene_feature_product	cds_feature_gene	cds_feature_product	final_gene	final_product	resolution
ATP-binding protein CDS	resolution	sasA 9		sasA 9	ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
CHAT domain-containing protein CDS	resolution				CHAT domain-containing protein	unknown_gene	CHAT domain-containing protein	fallback_unknown_gene
Photosystem I assembly protein CDS	resolution	ycf3 7		ycf3 7	tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
YbjN domain-containing protein CDS	resolution				YbjN domain-containing protein	unknown_gene	YbjN domain-containing protein	fallback_unknown_gene
Rrf2 family transcriptional regulator CDS	resolution				Rrf2 family transcriptional regulator	unknown_gene	Rrf2 family transcriptional regulator	fallback_unknown_gene
AbrB family transcriptional regulator CDS	resolution				AbrB family transcriptional regulator	unknown_gene	AbrB family transcriptional regulator	fallback_unknown_gene
NAD(P)H-quinone oxidoreductase subunit N CDS	resolution	ndhB 1		ndhB 1	NAD(P)H-quinone oxidoreductase subunit N	ndhN	NAD(P)H-quinone oxidoreductase subunit N	uniprot_product_to_gene:ndhN:1000
PP2C family protein-serine/threonine phosphatase CDS	resolution				PP2C family protein-serine/threonine phosphatase	unknown_gene	PP2C family protein-serine/threonine phosphatase	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
smc 1 CDS	resolution			smc_1	Chromosome partition protein Smc	smc	Chromosome partition protein Smc	uniprot_product_to_gene:smc:960
DUF4238 domain-containing protein CDS	resolution				DUF4238 domain-containing protein	unknown_gene	DUF4238 domain-containing protein	fallback_unknown_gene
type II toxin-antitoxin system VapC family toxin CDS	resolution				type II toxin-antitoxin system VapC family toxin	unknown_gene	type II toxin-antitoxin system VapC family toxin	fallback_unknown_gene
Membrane-associated protein CDS	resolution				Membrane-associated protein	vipp1	Membrane-associated protein	uniprot_product_to_gene:vipp1:6
Membrane-associated protein gene	resolution					unknown_gene	Membrane-associated protein gene	fallback_unknown_gene
sodium-dependent bicarbonate transport family permease CDS	resolution				sodium-dependent bicarbonate transport family permease	unknown_gene	sodium-dependent bicarbonate transport family permease	fallback_unknown_gene
response regulator CDS	resolution				response regulator	cheB	response regulator	uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
HEAT repeat domain-containing protein CDS	resolution				HEAT repeat domain-containing protein	unknown_gene	HEAT repeat domain-containing protein	fallback_unknown_gene
thylakoid membrane photosystem I accumulation factor CDS	resolution				thylakoid membrane photosystem I accumulation factor	unknown_gene	thylakoid membrane photosystem I accumulation factor	fallback_unknown_gene
GntR family transcriptional regulator CDS	resolution				GntR family transcriptional regulator	plmA	GntR family transcriptional regulator	uniprot_product_to_gene:plmA:15
Vitamin K epoxide reductase CDS	resolution				Vitamin K epoxide reductase	unknown_gene	Vitamin K epoxide reductase	fallback_unknown_gene
Photosystem II reaction center Psb28 protein CDS	resolution				Photosystem II reaction center Psb28 protein	psb	Photosystem II reaction center Psb28 protein	uniprot_product_to_gene:psb:25,psbW:20
tRNA-Leu gene	resolution					unknown_gene	tRNA-Leu gene	fallback_unknown_gene
tRNA-Leu gene	resolution					unknown_gene	tRNA-Leu gene	fallback_unknown_gene
TrmH family RNA methyltransferase CDS	resolution	trmH 1		trmH 1	TrmH family RNA methyltransferase	rlmB	TrmH family RNA methyltransferase	uniprot_product_to_gene:rlmB:5
Ycf66 family protein CDS	resolution				Ycf66 family protein	unknown_gene	Ycf66 family protein	fallback_unknown_gene
YggT family protein CDS	resolution				YggT family protein	yggT	YggT family protein	uniprot_product_to_gene:yggT:5
MBL fold metallo-hydrolase CDS	resolution				MBL fold metallo-hydrolase	unknown_gene	MBL fold metallo-hydrolase	fallback_unknown_gene
PD-(D/E)XK nuclease family protein CDS	resolution				PD-(D/E)XK nuclease family protein	unknown_gene	PD-(D/E)XK nuclease family protein	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
NAD-dependent succinate-semialdehyde dehydrogenase CDS	resolution				NAD-dependent succinate-semialdehyde dehydrogenase	unknown_gene	NAD-dependent succinate-semialdehyde dehydrogenase	fallback_unknown_gene
CHAT domain-containing protein CDS	resolution				CHAT domain-containing protein	unknown_gene	CHAT domain-containing protein	fallback_unknown_gene
aspartyl protease family protein CDS	resolution				aspartyl protease family protein	unknown_gene	aspartyl protease family protein	fallback_unknown_gene
class I SAM-dependent methyltransferase CDS	resolution				class I SAM-dependent methyltransferase	unknown_gene	class I SAM-dependent methyltransferase	fallback_unknown_gene
type I glyceraldehyde-3-phosphate dehydrogenase CDS	resolution				type I glyceraldehyde-3-phosphate dehydrogenase	gap	type I glyceraldehyde-3-phosphate dehydrogenase	uniprot_product_to_gene:gap:10
glycosyltransferase CDS	resolution				glycosyltransferase	ftsW	glycosyltransferase	uniprot_product_to_gene:ftsW:78,spoVE:3
sir 1 CDS	resolution			sir_1	Sulfite reductase [ferredoxin]	sir	Sulfite reductase [ferredoxin]	uniprot_product_to_gene:sir:566,NADPH:5,cysI:5
YdcF family protein CDS	resolution				YdcF family protein	unknown_gene	YdcF family protein	fallback_unknown_gene
alpha/beta hydrolase CDS	resolution				alpha/beta hydrolase	unknown_gene	alpha/beta hydrolase	fallback_unknown_gene
peroxiredoxin CDS	resolution				Peroxiredoxin	bcp	Peroxiredoxin	uniprot_product_to_gene:bcp:45,PRXQ:6,prxU:6,ygaF:6,ccp:5
peroxiredoxin gene	resolution					unknown_gene	peroxiredoxin gene	fallback_unknown_gene
LysR family transcriptional regulator CDS	resolution				LysR family transcriptional regulator	unknown_gene	LysR family transcriptional regulator	fallback_unknown_gene
CHAT domain-containing protein CDS	resolution				CHAT domain-containing protein	unknown_gene	CHAT domain-containing protein	fallback_unknown_gene
polysaccharide biosynthesis/export family protein CDS	resolution				polysaccharide biosynthesis/export family protein	gumB	polysaccharide biosynthesis/export family protein	uniprot_product_to_gene:gumB:5
GumC family protein CDS	resolution				GumC family protein	unknown_gene	GumC family protein	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
branched-chain amino acid transaminase CDS	resolution				branched-chain amino acid transaminase	ilvE	branched-chain amino acid transaminase	uniprot_product_to_gene:ilvE:40,ilvK:5
histidine kinase CDS	resolution				histidine kinase	sasA	histidine kinase	uniprot_product_to_gene:sasA:24,cikA:9,amt:6,hik2:6,CphB:5
DUF4079 domain-containing protein CDS	resolution				DUF4079 domain-containing protein	unknown_gene	DUF4079 domain-containing protein	fallback_unknown_gene
glycosyltransferase CDS	resolution				glycosyltransferase	ftsW	glycosyltransferase	uniprot_product_to_gene:ftsW:78,spoVE:3
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
DEAD/DEAH box helicase CDS	resolution				DEAD/DEAH box helicase	unknown_gene	DEAD/DEAH box helicase	fallback_unknown_gene
MDR family MFS transporter CDS	resolution				MDR family MFS transporter	unknown_gene	MDR family MFS transporter	fallback_unknown_gene
DUF760 domain-containing protein CDS	resolution				DUF760 domain-containing protein	unknown_gene	DUF760 domain-containing protein	fallback_unknown_gene
sigma-70 family RNA polymerase sigma factor CDS	resolution				sigma-70 family RNA polymerase sigma factor	unknown_gene	sigma-70 family RNA polymerase sigma factor	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
glycerate kinase CDS	resolution				glycerate kinase	glxK	glycerate kinase	uniprot_product_to_gene:glxK:5
3'(2'),5'-bisphosphate nucleotidase CysQ CDS	resolution				3'(2'),5'-bisphosphate nucleotidase CysQ	cysQ	3'(2'),5'-bisphosphate nucleotidase CysQ	uniprot_product_to_gene:cysQ:20
Crp/Fnr family transcriptional regulator CDS	resolution				Crp/Fnr family transcriptional regulator	unknown_gene	Crp/Fnr family transcriptional regulator	fallback_unknown_gene
DUF2256 domain-containing protein CDS	resolution				DUF2256 domain-containing protein	unknown_gene	DUF2256 domain-containing protein	fallback_unknown_gene
glutaminase CDS	resolution				glutaminase	cheB	glutaminase	uniprot_product_to_gene:cheB:429,glsA:25,cheB1:6,cheB2:6,cheB3:3
transaldolase CDS	resolution				transaldolase	tal	transaldolase	uniprot_product_to_gene:tal:930,talB:20,talA:15,tal2:6
hemolysin family protein CDS	resolution				hemolysin family protein	unknown_gene	hemolysin family protein	fallback_unknown_gene
tRNA-Ile gene	resolution					unknown_gene	tRNA-Ile gene	fallback_unknown_gene
M3 family oligoendopeptidase CDS	resolution				M3 family oligoendopeptidase	pepB	M3 family oligoendopeptidase	uniprot_product_to_gene:pepB:3
AmpG family muropeptide MFS transporter CDS	resolution				AmpG family muropeptide MFS transporter	unknown_gene	AmpG family muropeptide MFS transporter	fallback_unknown_gene
DUF1003 domain-containing protein CDS	resolution				DUF1003 domain-containing protein	unknown_gene	DUF1003 domain-containing protein	fallback_unknown_gene
type II toxin-antitoxin system VapC family toxin CDS	resolution				type II toxin-antitoxin system VapC family toxin	unknown_gene	type II toxin-antitoxin system VapC family toxin	fallback_unknown_gene
leucyl aminopeptidase CDS	resolution				leucyl aminopeptidase	pepA	leucyl aminopeptidase	uniprot_product_to_gene:pepA:196,pepB:1
class I SAM-dependent methyltransferase CDS	resolution				class I SAM-dependent methyltransferase	unknown_gene	class I SAM-dependent methyltransferase	fallback_unknown_gene
nucleotidyltransferase family protein CDS	resolution				nucleotidyltransferase family protein	unknown_gene	nucleotidyltransferase family protein	fallback_unknown_gene
NAD-dependent malic enzyme CDS	resolution				NAD-dependent malic enzyme	unknown_gene	NAD-dependent malic enzyme	fallback_unknown_gene
alpha-E domain-containing protein CDS	resolution				alpha-E domain-containing protein	unknown_gene	alpha-E domain-containing protein	fallback_unknown_gene
adenylate/guanylate cyclase domain-containing protein CDS	resolution				adenylate/guanylate cyclase domain-containing protein	unknown_gene	adenylate/guanylate cyclase domain-containing protein	fallback_unknown_gene
IS5 family transposase ISMac15 CDS	resolution				IS5 family transposase ISMac15	unknown_gene	IS5 family transposase ISMac15	fallback_unknown_gene
ycf3 8 CDS	resolution			ycf3_8	Photosystem I assembly protein Ycf3	ycf3	Photosystem I assembly protein Ycf3	uniprot_product_to_gene:ycf3:895,ycf:55
helix-hairpin-helix domain-containing protein CDS	resolution				helix-hairpin-helix domain-containing protein	unknown_gene	helix-hairpin-helix domain-containing protein	fallback_unknown_gene
type IV pilus twitching motility protein PilT CDS	resolution				type IV pilus twitching motility protein PilT	unknown_gene	type IV pilus twitching motility protein PilT	fallback_unknown_gene
folylpolyglutamate synthase/dihydrofolate synthase family protein CDS	resolution				folylpolyglutamate synthase/dihydrofolate synthase family protein	unknown_gene	folylpolyglutamate synthase/dihydrofolate synthase family protein	fallback_unknown_gene
photosystem II protein Y CDS	resolution				photosystem II protein Y	unknown_gene	photosystem II protein Y	fallback_unknown_gene
gamma carbonic anhydrase family protein CDS	resolution				gamma carbonic anhydrase family protein	unknown_gene	gamma carbonic anhydrase family protein	fallback_unknown_gene
TIGR02652 family protein CDS	resolution				TIGR02652 family protein	unknown_gene	TIGR02652 family protein	fallback_unknown_gene
VOC family protein CDS	resolution				VOC family protein	unknown_gene	VOC family protein	fallback_unknown_gene
DUF1818 family protein CDS	resolution				DUF1818 family protein	unknown_gene	DUF1818 family protein	fallback_unknown_gene
histidine phosphatase family protein CDS	resolution				histidine phosphatase family protein	unknown_gene	histidine phosphatase family protein	fallback_unknown_gene
2OG-Fe(II) oxygenase CDS	resolution				2OG-Fe(II) oxygenase	ambO5	2OG-Fe(II) oxygenase	uniprot_product_to_gene:ambO5:5
FtsX-like permease family protein CDS	resolution				FtsX-like permease family protein	unknown_gene	FtsX-like permease family protein	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
DivIVA domain-containing protein CDS	resolution				DivIVA domain-containing protein	unknown_gene	DivIVA domain-containing protein	fallback_unknown_gene
acyltransferase family protein CDS	resolution				acyltransferase family protein	unknown_gene	acyltransferase family protein	fallback_unknown_gene
DM13 domain-containing protein CDS	resolution				DM13 domain-containing protein	unknown_gene	DM13 domain-containing protein	fallback_unknown_gene
adenylate/guanylate cyclase domain-containing protein CDS	resolution				adenylate/guanylate cyclase domain-containing protein	unknown_gene	adenylate/guanylate cyclase domain-containing protein	fallback_unknown_gene
WGR domain-containing protein CDS	resolution				WGR domain-containing protein	unknown_gene	WGR domain-containing protein	fallback_unknown_gene
Npun R2479 family HD domain-containing metalloprotein CDS	resolution				Npun_R2479 family HD domain-containing metalloprotein	unknown_gene	Npun_R2479 family HD domain-containing metalloprotein	fallback_unknown_gene
rnc 1 CDS	resolution			rnc_1	Ribonuclease 3	rnc	Ribonuclease 3	uniprot_product_to_gene:rnc:925,mrnC:15,rnc1:11,rnc2:6
Npun R2821/Npun R2822 family protein CDS	resolution				Npun_R2821/Npun_R2822 family protein	unknown_gene	Npun_R2821/Npun_R2822 family protein	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
BMP family ABC transporter substrate-binding protein CDS	resolution				BMP family ABC transporter substrate-binding protein	unknown_gene	BMP family ABC transporter substrate-binding protein	fallback_unknown_gene
FAD-containing oxidoreductase CDS	resolution				FAD-containing oxidoreductase	unknown_gene	FAD-containing oxidoreductase	fallback_unknown_gene
methyltransferase domain-containing protein CDS	resolution				methyltransferase domain-containing protein	hasC	methyltransferase domain-containing protein	uniprot_product_to_gene:hasC:5,hemK:5
HEAT repeat domain-containing protein CDS	resolution				HEAT repeat domain-containing protein	unknown_gene	HEAT repeat domain-containing protein	fallback_unknown_gene
phycobiliprotein lyase CDS	resolution				phycobiliprotein lyase	cpcS1	phycobiliprotein lyase	uniprot_product_to_gene:cpcS1:1
adenylate/guanylate cyclase domain-containing protein CDS	resolution				adenylate/guanylate cyclase domain-containing protein	unknown_gene	adenylate/guanylate cyclase domain-containing protein	fallback_unknown_gene
PAS domain S-box protein CDS	resolution				PAS domain S-box protein	unknown_gene	PAS domain S-box protein	fallback_unknown_gene
phage holin family protein CDS	resolution				phage holin family protein	unknown_gene	phage holin family protein	fallback_unknown_gene
calcium-binding protein CDS	resolution				calcium-binding protein	unknown_gene	calcium-binding protein	fallback_unknown_gene
alpha-D-glucose phosphate-specific phosphoglucomutase CDS	resolution				alpha-D-glucose phosphate-specific phosphoglucomutase	unknown_gene	alpha-D-glucose phosphate-specific phosphoglucomutase	fallback_unknown_gene
DUF4330 domain-containing protein CDS	resolution				DUF4330 domain-containing protein	unknown_gene	DUF4330 domain-containing protein	fallback_unknown_gene
RNA-guided endonuclease InsQ/TnpB family protein CDS	resolution				RNA-guided endonuclease InsQ/TnpB family protein	unknown_gene	RNA-guided endonuclease InsQ/TnpB family protein	fallback_unknown_gene
NAD(P)H-quinone oxidoreductase subunit M CDS	resolution				NAD(P)H-quinone oxidoreductase subunit M	ndhM	NAD(P)H-quinone oxidoreductase subunit M	uniprot_product_to_gene:ndhM:950,ndhD:20
histidine phosphatase family protein CDS	resolution				histidine phosphatase family protein	unknown_gene	histidine phosphatase family protein	fallback_unknown_gene
response regulator CDS	resolution				response regulator	cheB	response regulator	uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
methyl-accepting chemotaxis protein CDS	resolution				methyl-accepting chemotaxis protein	ctr1	methyl-accepting chemotaxis protein	uniprot_product_to_gene:ctr1:25,ctr:15,mcpH:12,pixJ:10,mcpA:5
chemotaxis protein CheW CDS	resolution				chemotaxis protein CheW	cheW	chemotaxis protein CheW	uniprot_product_to_gene:cheW:15
CheR family methyltransferase CDS	resolution				CheR family methyltransferase	unknown_gene	CheR family methyltransferase	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
rcsC 15 CDS	resolution			rcsC_15	Sensor histidine kinase RcsC	rcsC	Sensor histidine kinase RcsC	uniprot_product_to_gene:rcsC:5
response regulator gene	resolution					unknown_gene	response regulator gene	fallback_unknown_gene
homocysteine biosynthesis protein CDS	resolution				homocysteine biosynthesis protein	unknown_gene	homocysteine biosynthesis protein	fallback_unknown_gene
gamma-glutamylcyclotransferase CDS	resolution				gamma-glutamylcyclotransferase	unknown_gene	gamma-glutamylcyclotransferase	fallback_unknown_gene
NAD+ synthase CDS	resolution				NAD+ synthase	unknown_gene	NAD+ synthase	fallback_unknown_gene
metallothionein CDS	resolution				metallothionein	smtA	metallothionein	uniprot_product_to_gene:smtA:38,mtnA:30,bmtA:5,bxmR:3
PAS domain-containing protein CDS	resolution				PAS domain-containing protein	unknown_gene	PAS domain-containing protein	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
cupin domain-containing protein CDS	resolution				cupin domain-containing protein	unknown_gene	cupin domain-containing protein	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
bifunctional pantoate--beta-alanine ligase/(d)CMP kinase CDS	resolution				bifunctional pantoate--beta-alanine ligase/(d)CMP kinase	unknown_gene	bifunctional pantoate--beta-alanine ligase/(d)CMP kinase	fallback_unknown_gene
alpha/beta fold hydrolase CDS	resolution				alpha/beta fold hydrolase	unknown_gene	alpha/beta fold hydrolase	fallback_unknown_gene
class I SAM-dependent methyltransferase CDS	resolution				class I SAM-dependent methyltransferase	unknown_gene	class I SAM-dependent methyltransferase	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
TrkA family potassium uptake protein CDS	resolution				TrkA family potassium uptake protein	unknown_gene	TrkA family potassium uptake protein	fallback_unknown_gene
isochorismate synthase CDS	resolution				isochorismate synthase	menF	isochorismate synthase	uniprot_product_to_gene:menF:111,entC:60,pchA:50
c-type cytochrome CDS	resolution				c-type cytochrome	ccdA	c-type cytochrome	uniprot_product_to_gene:ccdA:39,ccsB:12
DUF2555 domain-containing protein CDS	resolution				DUF2555 domain-containing protein	unknown_gene	DUF2555 domain-containing protein	fallback_unknown_gene
bis(5'-nucleosyl)-tetraphosphatase CDS	resolution				bis(5'-nucleosyl)-tetraphosphatase	yqeK	bis(5'-nucleosyl)-tetraphosphatase	uniprot_product_to_gene:yqeK:117,apaH:16,prpE:3,rny:3
alpha/beta fold hydrolase CDS	resolution				alpha/beta fold hydrolase	unknown_gene	alpha/beta fold hydrolase	fallback_unknown_gene
M23 family metallopeptidase CDS	resolution				M23 family metallopeptidase	unknown_gene	M23 family metallopeptidase	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
TrkA family potassium uptake protein CDS	resolution				TrkA family potassium uptake protein	unknown_gene	TrkA family potassium uptake protein	fallback_unknown_gene
PD-(D/E)XK nuclease family protein CDS	resolution				PD-(D/E)XK nuclease family protein	unknown_gene	PD-(D/E)XK nuclease family protein	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
ArnT family glycosyltransferase CDS	resolution				ArnT family glycosyltransferase	unknown_gene	ArnT family glycosyltransferase	fallback_unknown_gene
ion channel CDS	resolution				ion channel	crcB	ion channel	uniprot_product_to_gene:crcB:234,fluC:180,fluC1:24,fluC2:24,glvI:3
DUF4278 domain-containing protein CDS	resolution				DUF4278 domain-containing protein	unknown_gene	DUF4278 domain-containing protein	fallback_unknown_gene
filamentous hemagglutinin N-terminal domain-containing protein CDS	resolution				filamentous hemagglutinin N-terminal domain-containing protein	unknown_gene	filamentous hemagglutinin N-terminal domain-containing protein	fallback_unknown_gene
nuclear transport factor 2 family protein CDS	resolution				nuclear transport factor 2 family protein	unknown_gene	nuclear transport factor 2 family protein	fallback_unknown_gene
glycosyltransferase family 39 protein CDS	resolution				glycosyltransferase family 39 protein	unknown_gene	glycosyltransferase family 39 protein	fallback_unknown_gene
tRNA-Thr gene	resolution					unknown_gene	tRNA-Thr gene	fallback_unknown_gene
AAA family ATPase CDS	resolution				AAA family ATPase	unknown_gene	AAA family ATPase	fallback_unknown_gene
aldose epimerase CDS	resolution				aldose epimerase	unknown_gene	aldose epimerase	fallback_unknown_gene
CAP domain-containing protein CDS	resolution				CAP domain-containing protein	unknown_gene	CAP domain-containing protein	fallback_unknown_gene
DUF4335 domain-containing protein CDS	resolution				DUF4335 domain-containing protein	unknown_gene	DUF4335 domain-containing protein	fallback_unknown_gene
DUF3038 domain-containing protein CDS	resolution				DUF3038 domain-containing protein	unknown_gene	DUF3038 domain-containing protein	fallback_unknown_gene
adenine phosphoribosyltransferase CDS	resolution				adenine phosphoribosyltransferase	apt	adenine phosphoribosyltransferase	uniprot_product_to_gene:apt:990,aprT:5
NF038130 family PEP-CTERM protein CDS	resolution				NF038130 family PEP-CTERM protein	unknown_gene	NF038130 family PEP-CTERM protein	fallback_unknown_gene
VWA domain-containing protein CDS	resolution				VWA domain-containing protein	unknown_gene	VWA domain-containing protein	fallback_unknown_gene
glycogen/starch/alpha-glucan phosphorylase CDS	resolution				glycogen/starch/alpha-glucan phosphorylase	unknown_gene	glycogen/starch/alpha-glucan phosphorylase	fallback_unknown_gene
sensor histidine kinase CDS	resolution				sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
FAD-dependent oxidoreductase CDS	resolution				FAD-dependent oxidoreductase	unknown_gene	FAD-dependent oxidoreductase	fallback_unknown_gene
DUF2079 domain-containing protein CDS	resolution				DUF2079 domain-containing protein	unknown_gene	DUF2079 domain-containing protein	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
DUF2231 domain-containing protein CDS	resolution				DUF2231 domain-containing protein	unknown_gene	DUF2231 domain-containing protein	fallback_unknown_gene
DUF2231 domain-containing protein CDS	resolution				DUF2231 domain-containing protein	unknown_gene	DUF2231 domain-containing protein	fallback_unknown_gene
cytochrome c oxidase subunit II CDS	resolution				cytochrome c oxidase subunit II	coxB	cytochrome c oxidase subunit II	uniprot_product_to_gene:coxB:5
heme-copper oxidase subunit III CDS	resolution				heme-copper oxidase subunit III	unknown_gene	heme-copper oxidase subunit III	fallback_unknown_gene
GMC oxidoreductase CDS	resolution				GMC oxidoreductase	unknown_gene	GMC oxidoreductase	fallback_unknown_gene
PAS domain S-box protein CDS	resolution				PAS domain S-box protein	unknown_gene	PAS domain S-box protein	fallback_unknown_gene
valine--tRNA ligase CDS	resolution				valine--tRNA ligase	valS	valine--tRNA ligase	uniprot_product_to_gene:valS:1000
DUF3593 domain-containing protein CDS	resolution				DUF3593 domain-containing protein	unknown_gene	DUF3593 domain-containing protein	fallback_unknown_gene
DUF1838 domain-containing protein CDS	resolution				DUF1838 domain-containing protein	unknown_gene	DUF1838 domain-containing protein	fallback_unknown_gene
glucose-1-phosphate adenylyltransferase CDS	resolution				glucose-1-phosphate adenylyltransferase	glgC	glucose-1-phosphate adenylyltransferase	uniprot_product_to_gene:glgC:995
septal ring lytic transglycosylase RlpA family protein CDS	resolution				septal ring lytic transglycosylase RlpA family protein	unknown_gene	septal ring lytic transglycosylase RlpA family protein	fallback_unknown_gene
esterase-like activity of phytase family protein CDS	resolution				esterase-like activity of phytase family protein	unknown_gene	esterase-like activity of phytase family protein	fallback_unknown_gene
calcium-binding protein CDS	resolution				calcium-binding protein	unknown_gene	calcium-binding protein	fallback_unknown_gene
DNA polymerase III subunit alpha CDS	resolution				DNA polymerase III subunit alpha	dnaE	DNA polymerase III subunit alpha	uniprot_product_to_gene:dnaE:175
aspartate carbamoyltransferase catalytic subunit CDS	resolution				aspartate carbamoyltransferase catalytic subunit	pyrB	aspartate carbamoyltransferase catalytic subunit	uniprot_product_to_gene:pyrB:150
response regulator CDS	resolution				response regulator	cheB	response regulator	uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
DUF177 domain-containing protein CDS	resolution				DUF177 domain-containing protein	unknown_gene	DUF177 domain-containing protein	fallback_unknown_gene
protein jag CDS	resolution				protein jag	jag	protein jag	uniprot_product_to_gene:jag:10
PH domain-containing protein CDS	resolution				PH domain-containing protein	unknown_gene	PH domain-containing protein	fallback_unknown_gene
AAA family ATPase CDS	resolution				AAA family ATPase	unknown_gene	AAA family ATPase	fallback_unknown_gene
NAD(P)-dependent oxidoreductase CDS	resolution				NAD(P)-dependent oxidoreductase	unknown_gene	NAD(P)-dependent oxidoreductase	fallback_unknown_gene
response regulator CDS	resolution				response regulator	cheB	response regulator	uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
Hpt domain-containing protein CDS	resolution				Hpt domain-containing protein	unknown_gene	Hpt domain-containing protein	fallback_unknown_gene
GAF domain-containing protein CDS	resolution				GAF domain-containing protein	unknown_gene	GAF domain-containing protein	fallback_unknown_gene
chemotaxis protein CheW CDS	resolution				chemotaxis protein CheW	cheW	chemotaxis protein CheW	uniprot_product_to_gene:cheW:15
response regulator CDS	resolution				response regulator	cheB	response regulator	uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
response regulator transcription factor CDS	resolution				response regulator transcription factor	unknown_gene	response regulator transcription factor	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
argininosuccinate synthase CDS	resolution				argininosuccinate synthase	argG	argininosuccinate synthase	uniprot_product_to_gene:argG:990
DUF3181 family protein CDS	resolution				DUF3181 family protein	unknown_gene	DUF3181 family protein	fallback_unknown_gene
molybdopterin oxidoreductase family protein CDS	resolution				molybdopterin oxidoreductase family protein	fdhF	molybdopterin oxidoreductase family protein	uniprot_product_to_gene:fdhF:5
